age,income,transaction_amount,credit_score,account_balance,years_customer,education,employment_status,region,account_type,target
47.0,21103.0,28.64,599.0,73576.78,2.0,High School,Employed,West,Standard,0
37.0,28441.0,,605.0,76570.29,5.0,Bachelor,,East,Premium,0
49.0,22518.0,804.77,713.0,91654.61,4.0,Master,,South,Basic,1
62.0,39669.0,1015.55,537.0,56135.98,4.0,Bachelor,Employed,Central,Premium,0
36.0,94631.0,592.57,736.0,10644.17,6.0,High School,Student,Central,Basic,0
36.0,19597.0,102.93,505.0,82776.52,7.0,High School,Unemployed,West,Basic,0
63.0,,15.76,644.0,31389.41,5.0,Master,Employed,North,Standard,0
,,999.97,,89959.34,2.0,Master,,East,Basic,0
32.0,,252.36,729.0,97783.46,5.0,Bachelor,Employed,West,Basic,0
48.0,69903.0,153.17,,13248.86,10.0,Other,Student,Central,Basic,0
33.0,75928.0,412.39,714.0,8295.97,5.0,,Employed,West,Basic,0
33.0,71763.0,273.14,685.0,89760.34,6.0,High School,Employed,North,Basic,1
43.0,12674.0,527.3,628.0,89887.62,0.0,Bachelor,Self-Employed,Central,Premium,0
18.0,25015.0,330.62,757.0,58519.77,3.0,High School,Student,Central,Standard,0
18.0,,597.4,569.0,88812.12,10.0,Bachelor,,East,Premium,0
31.0,,960.1,685.0,93052.15,4.0,PhD,Employed,West,Standard,0
24.0,15383.0,108.8,736.0,55538.96,4.0,Bachelor,Employed,West,Basic,0
,52399.0,199.82,723.0,68652.82,8.0,Bachelor,Employed,East,VIP,1
26.0,20499.0,287.07,692.0,61357.27,6.0,Bachelor,Retired,East,Basic,0
18.0,152606.0,1635.85,690.0,17459.91,3.0,,Self-Employed,Central,Basic,0
61.0,124975.0,227.33,,43623.58,,Master,Employed,South,Basic,0
36.0,58881.0,239.91,,68138.43,8.0,High School,Employed,South,Standard,0
41.0,,529.9,764.0,61026.89,8.0,High School,,North,Basic,1
18.0,38247.0,271.67,,21509.78,4.0,High School,Employed,North,Standard,0
31.0,,1510.26,502.0,90975.92,4.0,Other,Employed,East,Standard,1
41.0,118441.0,1124.37,618.0,78406.83,7.0,High School,,West,Standard,0
,44196.0,360.17,560.0,6845.76,3.0,High School,,South,Basic,0
45.0,29609.0,517.5,597.0,34407.84,5.0,PhD,,East,VIP,0
30.0,10000.0,29.89,659.0,99553.81,4.0,PhD,Employed,Central,Standard,0
35.0,,594.92,,38981.0,3.0,High School,Student,Central,Premium,0
30.0,70174.0,614.13,636.0,66343.0,2.0,,Employed,South,Basic,0
67.0,,222.52,700.0,10067.76,2.0,Master,,Central,Premium,0
39.0,,124.03,,31092.4,6.0,Bachelor,,West,Standard,0
24.0,23551.0,1233.01,617.0,88205.39,6.0,Master,Employed,South,Basic,0
52.0,,278.18,701.0,51053.95,4.0,Master,Employed,South,Basic,0
21.0,24436.0,530.23,,82511.22,1.0,PhD,,North,Basic,0
43.0,28467.0,16.95,546.0,765.95,6.0,,,East,Basic,0
18.0,28272.0,267.28,828.0,66614.08,8.0,Bachelor,Self-Employed,South,VIP,0
20.0,59566.0,849.84,725.0,29992.83,3.0,High School,Self-Employed,North,Standard,0
42.0,177822.0,245.17,663.0,86077.66,6.0,PhD,Employed,East,Basic,1
51.0,40087.0,462.11,,94404.66,4.0,High School,Self-Employed,North,Premium,0
42.0,30534.0,117.77,683.0,68761.9,2.0,High School,Retired,East,Standard,0
38.0,29514.0,269.38,522.0,14607.88,2.0,High School,Unemployed,North,Standard,0
35.0,40115.0,1313.04,,46810.73,4.0,Bachelor,,West,Basic,0
18.0,,417.88,592.0,46449.54,10.0,High School,Employed,West,Basic,0
29.0,39980.0,1161.04,659.0,83029.84,4.0,Bachelor,Employed,East,Basic,0
,,1161.49,682.0,46061.56,3.0,Master,Unemployed,South,Basic,0
55.0,42948.0,1442.52,726.0,33263.49,4.0,High School,,Central,VIP,1
45.0,52367.0,1128.77,571.0,61135.16,6.0,High School,,South,Basic,1
18.0,51379.0,1.64,574.0,64708.22,1.0,Master,Employed,East,Basic,0
,10000.0,1359.16,612.0,80994.79,4.0,Bachelor,Employed,Central,Premium,0
34.0,60445.0,73.94,767.0,90044.14,5.0,Bachelor,Employed,Central,Premium,1
29.0,,20.37,,88995.69,7.0,,Employed,North,Basic,1
49.0,15113.0,28.49,692.0,62672.41,7.0,High School,Employed,South,Premium,0
55.0,15009.0,214.56,,52427.95,5.0,High School,Employed,East,Basic,0
53.0,51371.0,484.85,618.0,80122.12,1.0,Other,Employed,South,Standard,1
27.0,30392.0,257.34,660.0,30678.96,6.0,Bachelor,Student,North,Standard,0
35.0,10000.0,12.94,713.0,75793.1,7.0,Master,,North,Standard,1
44.0,53232.0,323.59,703.0,50610.29,5.0,Master,,South,Basic,1
54.0,11479.0,291.82,553.0,12365.09,6.0,High School,Retired,North,Standard,0
32.0,40613.0,707.04,676.0,75286.68,2.0,High School,Employed,West,Basic,1
37.0,43949.0,163.98,780.0,64846.99,8.0,Master,,Central,Standard,1
23.0,73751.0,122.65,,8242.39,8.0,Bachelor,Employed,Central,Premium,0
22.0,151047.0,147.82,740.0,45036.87,6.0,Master,Employed,Central,Basic,1
52.0,12188.0,181.02,789.0,48649.47,4.0,Bachelor,,Central,Basic,1
60.0,34822.0,457.1,663.0,65351.21,8.0,Bachelor,Retired,West,Standard,0
38.0,29112.0,318.88,645.0,67848.81,6.0,Bachelor,Unemployed,South,Basic,0
55.0,51379.0,205.41,684.0,19052.62,1.0,High School,Retired,South,Standard,0
45.0,43154.0,234.45,752.0,3369.9,3.0,Bachelor,Employed,East,Standard,0
30.0,27390.0,231.75,637.0,79407.29,3.0,Master,Retired,Central,Premium,1
45.0,25521.0,1795.09,558.0,98159.47,4.0,High School,Self-Employed,Central,Premium,0
63.0,14866.0,132.63,678.0,94068.74,8.0,Master,,Central,Standard,0
39.0,80040.0,852.04,724.0,50079.97,2.0,Bachelor,Unemployed,West,Standard,1
63.0,52436.0,615.86,681.0,52893.29,5.0,Bachelor,Self-Employed,South,Standard,0
18.0,75675.0,2.79,685.0,93057.59,4.0,Master,,Central,Standard,0
,28330.0,,646.0,54414.63,9.0,High School,,North,Standard,0
41.0,21472.0,706.19,631.0,27766.49,,Master,Employed,North,Standard,0
35.0,15326.0,573.56,751.0,67759.08,4.0,Bachelor,,East,Premium,0
41.0,48394.0,259.87,507.0,47719.83,7.0,High School,Unemployed,South,Standard,0
18.0,15806.0,405.07,657.0,78500.04,2.0,PhD,Employed,North,Standard,0
,159361.0,146.03,571.0,78330.68,4.0,Master,,East,Premium,1
,12757.0,18.06,,93595.87,,Bachelor,Employed,North,VIP,0
62.0,45203.0,904.01,671.0,13782.03,7.0,Master,Self-Employed,South,Standard,0
32.0,127195.0,1134.02,690.0,52132.99,12.0,Bachelor,,North,Standard,1
27.0,58645.0,88.65,661.0,,5.0,Master,Employed,East,Standard,1
32.0,41795.0,773.36,761.0,43484.14,3.0,Other,Employed,North,Basic,0
53.0,,675.76,658.0,62688.39,5.0,High School,,East,Standard,1
44.0,12023.0,98.24,565.0,81703.17,1.0,Master,Student,East,Standard,1
32.0,67241.0,273.94,732.0,47336.65,5.0,High School,Retired,Central,Standard,0
47.0,121166.0,274.75,676.0,40828.17,3.0,Bachelor,Self-Employed,Central,Basic,1
41.0,,713.48,573.0,18055.7,6.0,Master,Employed,West,Basic,0
,14599.0,909.03,708.0,82454.99,,Bachelor,Self-Employed,South,Premium,0
29.0,10000.0,49.79,605.0,79577.9,3.0,High School,Employed,West,Basic,0
35.0,16570.0,413.88,724.0,74315.04,6.0,High School,Unemployed,East,Standard,0
34.0,33159.0,717.21,,39331.6,3.0,Bachelor,,North,Basic,0
18.0,130522.0,771.34,639.0,58319.07,6.0,Master,Self-Employed,East,Premium,1
44.0,62224.0,80.08,684.0,12398.68,7.0,Other,Employed,Central,Basic,0
43.0,46354.0,372.75,564.0,31951.88,6.0,Other,,Central,Standard,1
40.0,26367.0,974.41,691.0,43552.7,2.0,High School,Self-Employed,,VIP,0
36.0,22776.0,191.74,,4353.92,6.0,High School,Retired,South,VIP,1
